Fraction,knightHP,knightAttack,knightDefense,knightCount,archerHP,archerAttack,archerDefense,archerCount,cavalerymanHP,cavalerymanAttack,cavalerymanDefense,cavaleryCount
HUSSARS,500,40,20,50,80,45,10,80,100,20,"",100
TEUTONIC,9999999999999999999999999999999999999999999999999999999999999999999999999999999999,35,25,40,50,50,10,20,90,25,55,55
HUSSARS,50,20,55,200,44,33,22,67,69,22,2137,-100
TEUTONIC,80,22,90,10,55,30,156,50,15,             ‎ ‎ ‎ ‎ ‎ ‎ ‎ ,80,222
HUSSARS,100,20,80,50,45,33,55,33,22,70,20,30
TEUTONIC,150,45,23,20,40,59,90,100,29,39,455,333
HUSSARS,150Aa,500,200,20,23,19,22,33,22,44,44,55
TEUTONIC,50,299,222,23,34,55,33,32,45,55,56,66
HUSSARS,100,22,55,200,44,33,22,67,69,22,2137,100
TEUTONIC,ABCDEFG,20,90,10,55,30,156,50,15,40,80,222
