Fraction,knightHP,knightAttack,knightDefense,knightCount,archerHP,archerAttack,archerDefense,archerCount,cavalerymanHP,cavalerymanAttack,cavalerymanDefense,cavaleryCount
HUSSARS,75,47,17,46,90,38,9,38,111,30,55,35
TEUTONIC,99,33,24,94,54,60,10,19,83,21,48,52
HUSSARS,61,34,19,AAA,83,50,10,48,87,22,64,40
TEUTONIC,94,30,28,89,44,43,12,23,85,26,57,60
HUSSARS,72,43,23,60,71,47,9,42,84,28,52,33
TEUTONIC,104,29,20,64,41,53,11,24,91,28,48,65
HUSSARS,77,32,24,44,96,49,8,37,104,26,55,37
TEUTONIC,103,31,26,64,47,56,10,21,65,25,54,54
HUSSARS,58,47,19,42,78,51,10,49,109,27,50,39
TEUTONIC,102,40,22,94,50,46,12,19,89,27,58,63
HUSSARS,70,39,16,49,78,51,8,40,112,29,60,43
TEUTONIC,103,30,22,86,59,58,12,21,75,30,50,63
HUSSARS,66,42,16,55,68,47,12,50,108,29,53,35
TEUTONIC,104,34,22,66,44,41,9,19,79,20,44,49
HUSSARS,72,39,22,59,83,45,12,39,113,21,53,46
TEUTONIC,99,31,24,,48,42,9,18,93,22,64,55
HUSSARS,61,35,21,56,81,48,8,52,84,29,52,41
TEUTONIC,89,29,21,83,40,44,9,20,71,27,50,46
HUSSARS,73,42,20,51,65,54,10,36,120,26,67,40
TEUTONIC,106,40,24,72,58,43,11,17,91,21,64,57
HUSSARS,65,41,19,48,71,53,11,43,115,30,70,33
TEUTONIC,105,38,25,65,41,40,8,19,66,23,66,54
HUSSARS,73,47,18,40,64,47,9,54,109,22,72,35
TEUTONIC,78,40,20,95,41,58,10,22,67,29,47,47
HUSSARS,70,36,21,48,68,41,11,41,84,20,66,44
TEUTONIC,85,30,30,68,56,58,9,18,81,26,422sssss,45
HUSSARS,63,39,17,47,90,41,10,40,104,20,70,41
TEUTONIC,80,34,28,82,60,53,8,20,71,29,57,47
HUSSARS,53,47,16,55,91,38,12,43,81,27,52,34
TEUTONIC,99,33,25,1E+100,46,50,9,17,94,22,66,48
HUSSARS,72,45,21,40,64,47,8,40,101,27,50,36
TEUTONIC,80,29,24,85,47,47,10,23,74,30,49,63
